#,status,current_title,recommended_title,old_slug,recommended_slug,slug_action,category,seo_focus_keyword,permalink_path,thumbnail_template,thumbnail_title,visual_motif,micro_labels
26,publish,Fabricated Hadith Prophecy: The Siege of Baghdad,Siege of Baghdad Hadith: A Fabricated Prophecy,fabricated-hadith-prophecy-the-siege-of-baghdad,siege-baghdad-hadith-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Siege of Baghdad Hadith,/siege-baghdad-hadith-fabricated-prophecy/,prophecy-dossier,THE SIEGE OF BAGHDAD,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Baghdad; siege; prophecy
27,publish,Fabricated Hadith Prophecy: THE PROPHESIED RETURN OF DHUL-KHALASA,Dhul-Khalasa Return Hadith: A Fabricated Prophecy,fabricated-prophecy-the-prophecied-return-of-dhul-khalasa,dhul-khalasa-return-hadith-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Dhul-Khalasa Return Hadith,/dhul-khalasa-return-hadith-fabricated-prophecy/,prophecy-dossier,THE PROPHESIED RETURN OF DHUL-KHALASA,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Dhul-Khalasa; prophecy
28,publish,Shia's Transmitting Hadith In Sahih Al-Bukhari ?!,Shia Transmitters in Sahih al-Bukhari,shias-transmitting-hadith-in-sahih-al-bukhari,shia-transmitters-sahih-al-bukhari,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Shia Transmitters in Sahih al-Bukhari,/shia-transmitters-sahih-al-bukhari/,isnad-forensics,SHIA'S TRANSMITTING HADITH IN SAHIH AL-BUKHARI ?!,A canonical volume silhouette opened into a forensic grid with one highlighted blind spot.,Shia transmitters; Bukhari; rijal
29,publish,Fabricated Hadith Prophecy: RETURN TO GREEN ARABIA,Green Arabia Hadith: A Fabricated Prophecy?,fabricated-hadith-prophecy-return-to-green-arabia,green-arabia-hadith-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Green Arabia Hadith,/green-arabia-hadith-fabricated-prophecy/,prophecy-dossier,RETURN TO GREEN ARABIA,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Green Arabia; prophecy
30,publish,Fabricated Hadith Prophecy: THE KILLING OF 'UMAR & THE AFFLICTIONS,Killing of Umar and the Fitna: Fabricated Prophecy,fabricated-hadith-prophecy-the-killing-of-umar-the-afflictions,killing-umar-fitnfabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Killing of Umar and the Fitna,/killing-umar-fitnfabricated-prophecy/,prophecy-dossier,THE KILLING OF 'UMAR & THE AFFLICTIONS,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Umar; afflictions; prophecy
31,publish,The Double Life of ʿAbbād ibn Yaʿqūb - The Sunni 12er,ʿAbbād ibn Yaʿqūb: The Sunni Twelver in Hadith Transmission,the-double-life-of-%ca%bfabbad-ibn-ya%ca%bfqub-the-sunni-12er,abbad-ibn-yaqub-sunni-twelver-hadith,Replace irrelevant/encoded slug + 301 redirect,Hadith Transmission & Rijāl Criticism,ʿAbbād ibn Yaʿqūb,/abbad-ibn-yaqub-sunni-twelver-hadith/,isnad-forensics,THE DOUBLE LIFE OF ʿABBĀD IBN YAʿQŪB - THE SUNNI 12ER,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,ʿAbbad ibn Yaʿqub; Sunni/Twelver; transmitter
32,publish,Fabricated Hadith Prophecy: “HOLD ON TO THESE 6 THINGS THAT WILL OCCUR IN THE FUTURE”,“Hold On to Six Things”: A Fabricated Future Prophecy,fabricated-hadith-prophecy-hold-on-to-these-6-things-that-will-occur-in-the-future,hold-six-things-fabricated-future-prophecy,Shorten slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",“Hold On to Six Things”,/hold-six-things-fabricated-future-prophecy/,prophecy-dossier,“HOLD ON TO THESE 6 THINGS THAT WILL OCCUR IN THE FUT…,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",future events; six things; prophecy
33,publish,Fabricated Hadith Prophecy: THE THIRTY-YEAR REIGN,Thirty-Year Caliphate Hadith: A Fabricated Prophecy,fabricated-hadith-prophecy-the-thirty-year-reign,thirty-year-caliphate-hadith-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Thirty-Year Caliphate Hadith,/thirty-year-caliphate-hadith-fabricated-prophecy/,prophecy-dossier,THE THIRTY-YEAR REIGN,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",thirty-year reign; prophecy
34,publish,The Prophet Did Not Know The Future,Did the Prophet Know the Future? A Quranic Critique,the-prophet-did-not-know-the-future,did-prophet-know-future-quranic-critique,Update title/slug + 301 redirect,Quranic Theology & Tafsir,the Prophet Know the Future? A Quranic Critique,/did-prophet-know-future-quranic-critique/,prophecy-dossier,THE PROPHET DID NOT KNOW THE FUTURE,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",knowledge of future; prophetic limits
35,publish,Fabricated Hadith Prophecy: The Conquest of Constantinople,Conquest of Constantinople Hadith: A Fabricated Prophecy,fabricated-hadith-prophecy-the-conquest-of-constantinople,conquest-constantinople-hadith-fabricated-prophecy,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Conquest of Constantinople Hadith,/conquest-constantinople-hadith-fabricated-prophecy/,prophecy-dossier,THE CONQUEST OF CONSTANTINOPLE,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Constantinople; prophecy
36,publish,"Points & Refutations Against: ""Beware of This Islamic Creator""",Refuting “Beware of This Islamic Creator”,points-refutations-against-beware-of-this-islamic-creator,refuting-beware-islamic-creator,Update title/slug + 301 redirect,Philosophy & Epistemology,Refuting “Beware of This Islamic Creator”,/refuting-beware-islamic-creator/,logic-lab,POINTS & REFUTATIONS AGAINST,"A clean argument diagram: premises, inference arrows, contradiction marker, and verification seal.",creator argument; refutations; apologetics
37,publish,Fallible Transmitters Transmitting Infallible Text (The Quran),Fallible Transmitters and the Infallible Quran,fallible-transmitters-transmitting-infallible-text-the-quran,fallible-transmitters-infallible-quran,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Fallible Transmitters and the Infallible Quran,/fallible-transmitters-infallible-quran/,quranic-criterion,FALLIBLE TRANSMITTERS TRANSMITTING INFALLIBLE TEXT (T…,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",fallible transmitters; Quran transmission
38,publish,Ṣaḥīḥ al-Yahūd - The Parable of The Believer & The Citron,Sahih al-Yahud: The Believer and the Citron,%e1%b9%a3a%e1%b8%a5i%e1%b8%a5-al-yahud-the-parable-of-the-believer-the-citron,sahih-al-yahud-believer-citron,Replace irrelevant/encoded slug + 301 redirect,Comparative Religion & Biblical Studies,Sahih al-Yahud,/sahih-al-yahud-believer-citron/,comparative-manuscripts,ṢAḤĪḤ AL-YAHŪD,Facing manuscript pages with cross-reference threads and small marginal “source” tags.,Jewish source; citron parable; hadith borrowing
39,publish,Hisham ibn Urwa: The Man Who Stopped Menstruating Women From Praying,Hisham ibn Urwa and Menstruating Women in Prayer,hisham-ibn-urwa-the-man-who-stopped-menstruating-women-from-praying,hisham-ibn-urwa-menstruating-women-prayer,Update title/slug + 301 redirect,Ritual Practice & Legal Reform,Hisham ibn Urwa and Menstruating Women in Prayer,/hisham-ibn-urwa-menstruating-women-prayer/,isnad-forensics,HISHAM IBN URWA,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,menstruation; prayer; Hisham ibn Urwa
40,publish,Abu Hurairah Lost The Zakat To a Jinn,"Abu Hurairah, Zakat, and the Jinn Report",abu-hurairah-lost-the-zakat-to-a-jinn,abu-hurairah-zakat-jinn-report,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,"Abu Hurairah, Zakat, and the Jinn Report",/abu-hurairah-zakat-jinn-report/,isnad-forensics,ABU HURAIRAH LOST THE ZAKAT TO A JINN,A ledger table with corrupted columns and an overlaid Medinan seal.,Abu Hurairah; jinn; zakat report
41,publish,Isnad Politics: The Case of Al-A'mash and Hisham,Isnad Politics: al-Aʿmash and Hisham,isnad-politics-the-case-of-al-amash-and-hisham,isnad-politics-al-amash-hisham,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Isnad Politics,/isnad-politics-al-amash-hisham/,isnad-forensics,ISNAD POLITICS: THE CASE OF AL-A'MASH AND HISHAM,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,isnad politics; al-Aʿmash; Hisham
42,publish,Ṣaḥīḥ al-Yahūd – Being Merciful To Inhabitants of Earth,Sahih al-Yahud: Mercy to the Inhabitants of Earth,%e1%b9%a3a%e1%b8%a5i%e1%b8%a5-al-yahud-being-merciful-to-inhabitants-of-earth,sahih-al-yahud-mercy-inhabitants-earth,Replace irrelevant/encoded slug + 301 redirect,Comparative Religion & Biblical Studies,Sahih al-Yahud,/sahih-al-yahud-mercy-inhabitants-earth/,comparative-manuscripts,ṢAḤĪḤ AL-YAHŪD – BEING MERCIFUL TO INHABITANTS OF EARTH,Facing manuscript pages with cross-reference threads and small marginal “source” tags.,Jewish source; mercy to earth; hadith borrowing
43,publish,Hudhayfah ibn al-Yaman & The False Story of 'The Keeper of Secrets',Hudhayfah ibn al-Yaman and the Keeper of Secrets Myth,hudhayfah-ibn-al-yaman-the-false-story-of-the-keeper-of-secrets,hudhayfah-ibn-al-yaman-keeper-secrets-myth,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Hudhayfah ibn al-Yaman and the Keeper of Secrets Myth,/hudhayfah-ibn-al-yaman-keeper-secrets-myth/,isnad-forensics,HUDHAYFAH IBN AL-YAMAN & THE FALSE STORY OF 'THE KEEP…,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,Hudhayfah; keeper of secrets; false story
44,publish,"Flogging, Torture, and Transmission of Hadith","Flogging, Torture, and Hadith Transmission",flogging-torture-and-transmission-of-hadith,flogging-torture-hadith-transmission,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,"Flogging, Torture, and Hadith Transmission",/flogging-torture-hadith-transmission/,isnad-forensics,"FLOGGING, TORTURE, AND TRANSMISSION OF HADITH",A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,coercion; torture; transmission reliability
45,publish,The Origin of Islamic Apostasy: The Slave of Ibn Abbas,Origin of the Apostasy Hadith: The Slave of Ibn Abbas,the-origin-of-islamic-apostasy-the-slave-of-ibn-abbas,origin-apostasy-hadith-slave-ibn-abbas,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Origin of the Apostasy Hadith,/origin-apostasy-hadith-slave-ibn-abbas/,isnad-forensics,THE ORIGIN OF ISLAMIC APOSTASY: THE SLAVE OF IBN ABBAS,"A severed legal verdict stamp over a single narrator-node labeled IKRIMA, with a broken chain descending from Ibn ʿAbbās.",apostasy; Ikrima; Ibn Abbas
46,publish,Al-A'mash Did Not Want You To Beat Yourself For Husayn,"al-Aʿmash, Husayn, and Anti-Shiʿi Polemic",al-amash-did-not-want-you-to-beat-yourself-for-husayn,al-amash-husayn-anti-shii-polemic,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,"al-Aʿmash, Husayn, and Anti-Shiʿi Polemic",/al-amash-husayn-anti-shii-polemic/,isnad-forensics,AL-A'MASH DID NOT WANT YOU TO BEAT YOURSELF FOR HUSAYN,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,al-Aʿmash; Husayn; sectarian hadith
47,publish,A Case Study of Ibn Abbas & Ikrima in The Muwatta,Ibn Abbas and Ikrima in the Muwatta: A Case Study,a-case-study-of-ibn-abbas-ikrima-in-the-muwatta,ibn-abbas-ikrima-muwatta-case-study,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Ibn Abbas and Ikrima in the Muwatta,/ibn-abbas-ikrima-muwatta-case-study/,isnad-forensics,A CASE STUDY OF IBN ABBAS & IKRIMA IN THE MUWATTA,A Medinan practice seal over a transmission map; one dotted chain is highlighted in amber.,Ibn Abbas; Ikrima; Muwatta case study
48,publish,Hadith Logically Can Not Be Considered 'Wahi'.,Can Hadith Be Wahi? A Logical Critique,hadith-logically-can-not-be-considered-wahi,can-hadith-wahi-logical-critique,Update title/slug + 301 redirect,Philosophy & Epistemology,Can Hadith Be Wahi? A Logical Critique,/can-hadith-wahi-logical-critique/,logic-lab,HADITH LOGICALLY CAN NOT BE CONSIDERED 'WAHI'.,"A clean argument diagram: premises, inference arrows, contradiction marker, and verification seal.",wahi; logical critique; authority
49,publish,False Verses Added Into The Mushaf - An Umayyad Exposé,False Verses in the Mushaf: An Umayyad Exposé,false-verses-added-into-the-mushaf-an-umayyad-expose,false-verses-mushaf-umayyad-expose,Update title/slug + 301 redirect,Quranic Theology & Tafsir,False Verses in the Mushaf,/false-verses-mushaf-umayyad-expose/,quranic-criterion,FALSE VERSES ADDED INTO THE MUSHAF - AN UMAYYAD EXPOSÉ,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",mushaf; false verses; Umayyad expose
50,publish,Ibn Taymiyah's Views on Arab Superiority,Ibn Taymiyyah on Arab Superiority,ibn-taymiyahs-views-on-arab-superiority,ibn-taymiyyah-arab-superiority,Update title/slug + 301 redirect,Quranic Theology & Tafsir,Ibn Taymiyyah on Arab Superiority,/ibn-taymiyyah-arab-superiority/,quranic-criterion,IBN TAYMIYAH'S VIEWS ON ARAB SUPERIORITY,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",Arab superiority; Ibn Taymiyyah; race theology
51,publish,Bukhari's Blind Spot: The Problem of Aisha's Pre-Birth Narrations,Bukhari’s Blind Spot: Aisha’s Pre-Birth Narrations,bukharis-blind-spot-the-problem-of-aishas-pre-birth-narrations,bukharis-blind-spot-aishas-pre-birth-narrations,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Bukhari’s Blind Spot,/bukharis-blind-spot-aishas-pre-birth-narrations/,isnad-forensics,BUKHARI'S BLIND SPOT,A canonical volume silhouette opened into a forensic grid with one highlighted blind spot.,Aisha; pre-birth narrations; Bukhari
